country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0
Albania,89,132,54,4.8796275
Algeria,25,0,14,0.6920199
Andorra,245,138,312,12.3321495
Angola,217,57,45,5.6603679
Antigua & Barbuda,102,128,45,4.8796275
Argentina,193,25,221,7.7896599
Armenia,21,179,11,3.7440051
Australia,261,72,212,9.6705345
Austria,279,75,191,9.6705345
Azerbaijan,21,46,5,1.2775752
Bahamas,122,176,236,9.4753494
Bahrain,42,63,7,1.9873392
Bangladesh,0,0,0,0
Barbados,143,173,36,6.2459232
Belarus,142,373,42,9.8834637
Belgium,295,84,212,10.4867631
Belize,263,114,8,6.8314785
Benin,34,4,13,0.9049491
Bhutan,23,0,0,0.4081143
Bolivia,167,41,8,3.8327256
Bosnia-Herzegovina,76,173,8,4.5602337
Botswana,173,35,35,4.3118163
Brazil,245,145,16,7.2041046
Brunei,31,2,1,0.6032994
Bulgaria,231,252,94,10.2383457
Burkina Faso,25,7,7,0.6920199
Burundi,88,0,0,1.5614808
Cabo Verde,144,56,16,3.8327256
Cambodia,57,65,1,2.1825243
Cameroon,147,1,4,2.6971032
Canada,240,122,100,8.1977742
Central African Republic,17,2,1,0.354882
Chad,15,1,1,0.3016497
Chile,130,124,172,7.5589866
China,79,192,8,4.9506039
Colombia,159,76,3,4.2230958
Comoros,1,3,1,0.0887205
Congo,76,1,9,1.5259926
Cook Islands,0,254,74,5.8200648
Costa Rica,149,87,11,4.3827927
Cote d'Ivoire,37,1,7,0.7984845
Croatia,230,87,254,10.1318811
Cuba,93,137,5,4.1698635
Cyprus,192,154,113,8.1445419
Czech Republic,361,170,134,11.7998265
Denmark,224,78,278,10.291578
Djibouti,15,44,3,1.1001342
Dominica,52,286,26,6.4588524
Dominican Republic,193,147,9,6.1926909
DR Congo,32,3,1,0.6387876
Ecuador,162,74,3,4.2408399
Egypt,6,4,1,0.1951851
El Salvador,52,69,2,2.1825243
Equatorial Guinea,92,0,233,5.7668325
Eritrea,18,0,0,0.3193938
Estonia,224,194,59,8.4639357
Ethiopia,20,3,0,0.4081143
Fiji,77,35,1,2.0050833
